num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
3,2,t601,3,4,1,6.3,7.3,1.6239999999999999
3,2,t94,6,4,0,3.9,3.9,1.3
3,2,t750,5,2,0,3.5999999999999996,3.5999999999999996,0.918
3,2,t523,14,4,0,3.0,3.0,0.802
3,2,t313,2,13,0,3.9,3.9,0.8160000000000001
3,2,t1416,10,5,0,3.3,3.3,0.9279999999999999
3,2,t795,5,3,-1,5.7,4.7,1.512
3,2,t796,5,3,-1,5.7,4.7,1.512
3,2,t1137,19,2,0,5.1,5.1,1.8420000000000003
3,2,t62,13,1,-1,4.8,3.8,1.2846000000000002
3,2,t1398,10,13,0,6.6,6.6,2.108
3,2,t522,14,3,-1,7.199999999999999,6.199999999999999,2.116
3,2,t1429,10,17,-1,5.1,4.1,1.6
3,2,t652,3,19,0,7.199999999999999,7.199999999999999,2.5100000000000002
3,2,t854,15,10,-1,3.9,2.9,0.8960000000000001
3,2,t1163,19,10,0,4.5,4.5,1.3920000000000001
3,2,t496,14,19,0,3.0,3.0,0.742
3,2,t644,3,15,1,5.7,6.7,1.436
3,2,t67,13,19,-1,7.5,6.5,2.656
3,2,t391,9,13,0,4.5,4.5,1.2080000000000002
3,2,t630,3,12,1,4.2,5.2,0.8660000000000001
3,2,t204,7,9,0,2.6999999999999997,2.6999999999999997,0.91
3,2,t213,7,5,0,2.4,2.4,0.634
3,2,t412,9,1,0,1.5,1.5,0.34400000000000003
3,2,t607,3,1,0,4.5,4.5,1.168
3,2,t922,1,18,-1,5.7,4.7,1.8378
3,2,t572,11,16,0,5.1,5.1,1.6600000000000001
3,2,t550,11,7,0,1.5,1.5,0.532
3,2,t460,9,17,-1,3.3,2.3,0.758
3,2,t757,5,3,-1,5.7,4.7,1.512
3,2,t746,5,7,0,2.4,2.4,0.588
3,2,t1277,17,10,0,5.1,5.1,1.534
3,2,t1092,16,13,0,5.3999999999999995,5.3999999999999995,1.4000000000000001
3,2,t614,3,19,0,7.199999999999999,7.199999999999999,2.5100000000000002
3,2,t486,14,5,0,3.3,3.3,0.892
3,2,t1504,0,19,-1,5.7,4.7,1.9800000000000002
3,2,t458,9,19,0,4.2,4.2,1.6920000000000002
3,2,t623,3,0,1,4.5,5.5,0.868
3,2,t598,3,14,0,7.5,7.5,2.102
3,2,t1400,10,6,0,3.9,3.9,1.1580000000000001
3,2,t128,6,14,0,3.0,3.0,0.668
3,2,t1259,17,3,2,3.5999999999999996,5.6,1.076
3,2,t12,13,14,-1,7.8,6.8,2.056
3,2,t1494,0,5,-1,4.2,3.2,0.97
3,2,t197,7,6,0,3.0,3.0,0.8260000000000001
3,2,t58,13,5,-1,6.0,5.0,1.6239999999999999
3,2,t1272,17,19,0,7.8,7.8,2.5860000000000003
3,2,t264,12,17,0,5.3999999999999995,5.3999999999999995,1.3860000000000001
3,2,t1350,8,19,0,6.8999999999999995,6.8999999999999995,2.3280000000000003
3,2,t769,5,19,0,3.3,3.3,0.806
3,2,t293,12,15,0,6.0,6.0,1.2824
3,2,t666,4,6,-1,3.9,2.9,1.4080000000000001
3,2,t1134,19,7,0,3.3,3.3,1.074
3,2,t345,2,8,-1,6.8999999999999995,5.8999999999999995,1.7480000000000002
3,2,t928,1,17,-1,4.5,3.5,1.08
3,2,t1186,19,5,0,3.5999999999999996,3.5999999999999996,0.986
3,2,t814,5,10,0,3.3,3.3,0.828
3,2,t753,5,14,0,3.3,3.3,0.894
3,2,t1219,17,11,0,6.0,6.0,1.8418
3,2,t562,11,4,0,6.3,6.3,2.118
3,2,t626,3,6,0,6.8999999999999995,6.8999999999999995,1.752
3,2,t557,11,9,0,3.5999999999999996,3.5999999999999996,1.354
3,2,t1210,17,7,0,6.0,6.0,1.846
3,2,t57,13,5,-1,6.0,5.0,1.6239999999999999
3,2,t1432,10,0,0,4.8,4.8,1.1826
3,2,t554,11,2,0,5.3999999999999995,5.3999999999999995,1.8739999999999999
3,2,t1197,19,17,-1,7.5,6.5,2.474
3,2,t565,11,5,0,3.5999999999999996,3.5999999999999996,1.129
3,2,t1244,17,13,1,5.3999999999999995,6.3999999999999995,1.568
3,2,t1304,8,1,0,5.7,5.7,1.6960000000000002
3,2,t1549,0,10,-1,4.5,3.5,1.2400000000000002
3,2,t43,13,7,-1,6.3,5.3,1.862
3,2,t1514,0,13,0,4.2,4.2,0.9900000000000001
3,3,t88,6,9,-1,4.2,3.2,0.952
3,3,t223,7,19,0,3.0,3.0,0.976
3,3,t886,15,19,-1,3.5999999999999996,2.5999999999999996,0.954
3,3,t213,7,5,0,2.4,2.4,0.634
3,3,t67,13,19,1,7.5,8.5,2.656
3,3,t586,3,13,0,3.9,3.9,0.8640000000000001
3,3,t1180,19,14,-1,3.3,2.3,0.8580000000000001
3,3,t1423,10,18,-1,6.3,5.3,4.538
3,3,t1412,10,3,-1,6.3,5.3,1.9600000000000002
3,3,t1398,10,13,-1,6.6,5.6,2.108
3,3,t452,9,1,-1,1.5,0.5,0.34400000000000003
3,3,t643,3,5,1,5.7,6.7,1.4800000000000002
3,3,t152,6,10,-1,4.2,3.2,1.1460000000000001
3,3,t1388,10,19,0,4.2,4.2,1.2936
3,3,t1121,16,17,-1,5.7,4.7,1.548
3,3,t863,15,7,-1,3.3,2.3,0.73
3,3,t1426,10,19,0,4.2,4.2,1.2936
3,3,t633,3,2,-1,4.5,3.5,0.9640000000000001
3,3,t1152,19,1,-1,3.9,2.9,1.528
3,3,t684,4,15,0,3.3,3.3,0.786
3,3,t573,11,16,-1,5.1,4.1,1.6600000000000001
3,3,t1313,8,17,-1,3.3,2.3,0.9039999999999999
3,3,t1436,0,13,-1,4.2,3.2,0.9900000000000001
3,3,t824,15,7,-1,3.3,2.3,0.73
3,3,t1110,16,5,-1,2.6999999999999997,1.6999999999999997,0.678
3,3,t1494,0,5,-1,4.2,3.2,0.97
3,3,t749,5,2,-1,3.5999999999999996,2.5999999999999996,0.918
3,3,t50,13,14,-1,7.8,6.8,2.056
3,3,t235,12,13,-1,3.0,2.0,0.642
3,3,t686,4,1,0,4.2,4.2,1.028
3,3,t441,9,14,-1,5.1,4.1,1.6440000000000001
3,3,t1471,0,10,-1,4.5,3.5,1.2400000000000002
3,3,t806,5,16,-1,3.0,2.0,0.676
3,3,t395,9,7,0,3.0,3.0,0.772
3,3,t668,4,7,-1,5.1,4.1,1.9500000000000002
3,3,t325,2,11,-1,5.7,4.7,1.8940000000000001
3,3,t1108,16,4,0,2.6999999999999997,2.6999999999999997,0.686
3,3,t742,5,13,-1,6.3,5.3,1.6520000000000001
3,3,t576,11,17,-1,6.0,5.0,1.9260000000000002
3,3,t691,4,19,-1,4.2,3.2,1.47
3,3,t214,7,5,0,2.4,2.4,0.634
3,3,t205,7,9,0,2.6999999999999997,2.6999999999999997,0.91
3,3,t569,11,1,-1,3.3,2.3,1.154
3,3,t74,13,10,1,7.199999999999999,8.2,2.022
3,3,t847,15,19,-1,3.5999999999999996,2.5999999999999996,0.954
3,3,t1448,0,14,0,6.3,6.3,1.6820000000000002
3,3,t210,7,3,-1,5.3999999999999995,4.3999999999999995,1.7000000000000002
3,3,t457,9,19,0,4.2,4.2,1.6920000000000002
3,3,t638,3,11,1,7.199999999999999,8.2,2.17
3,3,t75,13,0,-1,4.8,3.8,1.014
3,3,t627,3,6,-1,6.8999999999999995,5.8999999999999995,1.752
3,3,t771,5,17,-1,6.0,5.0,1.4246
3,3,t1504,0,19,-1,5.7,4.7,1.9800000000000002
3,3,t224,7,19,0,3.0,3.0,0.976
3,3,t1495,0,15,0,4.5,4.5,1.022
3,3,t830,15,9,-1,2.6999999999999997,1.6999999999999997,0.6480000000000001
3,3,t353,2,6,0,3.9,3.9,0.978
3,3,t767,5,16,-1,3.0,2.0,0.676
3,3,t469,14,13,-1,7.8,6.8,2.024
3,3,t503,14,10,-1,5.3999999999999995,4.3999999999999995,1.6320000000000001
3,3,t965,1,19,-1,3.3,2.3,1.4160000000000001
3,3,t661,3,0,-1,4.5,3.5,0.868
3,3,t517,14,9,-1,5.1,4.1,1.4300000000000002
3,3,t849,15,17,-1,6.0,5.0,1.3900000000000001
3,3,t1170,19,6,-1,3.5999999999999996,2.5999999999999996,0.968
3,3,t1400,10,6,-1,3.9,2.9,1.1580000000000001
3,3,t533,14,16,0,3.0,3.0,0.916
3,3,t635,3,9,1,4.5,5.5,1.09
3,3,t225,7,17,-1,6.0,5.0,1.9320000000000002
3,3,t1156,19,16,-1,3.9,2.9,1.478
3,3,t809,5,19,0,3.3,3.3,0.806
3,3,t1244,17,13,0,5.3999999999999995,5.3999999999999995,1.568
3,3,t1139,19,9,0,4.2,4.2,1.7334
3,3,t1104,16,14,0,2.6999999999999997,2.6999999999999997,0.87
3,3,t1172,19,7,0,3.3,3.3,1.074
